Sex;Age;Painting;Sculpture;Handicraft;Design;Photography;Installation art;Video art;Performance art;Visual art created by artificial intelligence;Other types of visual art
Sex, total;Age, total;54;36;24;25;43;17;19;14;13;4
Sex, total;16-24 years;46;29;23;25;33;18;13;7;12;4
Sex, total;25-34 years;42;26;21;15;26;16;9;6;10;6
Sex, total;35-44 years;44;23;23;18;24;11;7;4;5;4
Sex, total;45-54 years;47;24;23;18;23;7;3;4;5;4
Sex, total;55-64 years;54;27;31;17;21;9;4;2;4;4
Sex, total;65-74 years;53;22;23;16;15;6;1;1;1;4
Sex, total;75 years and over;;;;;;;;;;
Men;Age, total;47;29;16;16;39;10;18;10;13;3
Men;16-24 years;41;27;21;22;26;15;15;6;13;5
Men;25-34 years;41;26;17;13;27;19;11;7;13;4
Men;35-44 years;41;21;18;16;25;12;9;6;6;4
Men;45-54 years;44;22;16;14;23;6;3;2;6;4
Men;55-64 years;51;22;23;14;21;7;5;2;3;4
Men;65-74 years;48;17;16;11;14;6;1;1;0;3
Men;75 years and over;;;;;;;;;;
Women;Age, total;62;45;34;36;48;26;20;18;13;4
Women;16-24 years;49;31;24;28;38;20;11;7;11;4
Women;25-34 years;42;26;25;17;26;13;7;4;8;7
Women;35-44 years;47;24;28;20;23;9;5;2;5;4
Women;45-54 years;51;27;31;22;22;8;3;5;5;3
Women;55-64 years;56;32;36;21;21;10;4;2;4;3
Women;65-74 years;58;26;29;21;15;6;1;1;2;5
Women;75 years and over;;;;;;;;;;
