Sex;Age;Paid TV channels or TV channel packages;Free TV channels;Paid streaming services;Free streaming services;Digital loan or renting;Social media;DVD, Blu-ray or VHS;Other means
Sex, total;Age, total;48;47;93;12;19;49;8;9
Sex, total;16-24 years;37;61;88;16;21;39;15;13
Sex, total;25-34 years;40;58;87;13;21;25;12;5
Sex, total;35-44 years;56;62;78;11;19;23;13;5
Sex, total;45-54 years;67;57;53;8;8;13;10;6
Sex, total;55-64 years;69;53;31;7;4;11;8;4
Sex, total;65-74 years;62;56;17;5;2;8;5;4
Sex, total;75 years and over;;;;;;;;
Men;Age, total;45;40;91;12;23;57;9;9
Men;16-24 years;33;56;87;18;19;45;14;19
Men;25-34 years;35;54;84;9;21;33;11;8
Men;35-44 years;52;62;79;14;21;31;12;6
Men;45-54 years;68;57;53;8;8;16;12;7
Men;55-64 years;66;55;34;9;5;15;9;3
Men;65-74 years;64;57;19;6;1;9;8;3
Men;75 years and over;;;;;;;;
Women;Age, total;51;54;94;12;14;42;8;10
Women;16-24 years;40;67;89;14;22;32;16;7
Women;25-34 years;45;61;89;16;20;18;14;2
Women;35-44 years;60;62;77;8;17;15;15;4
Women;45-54 years;65;57;53;8;7;10;8;6
Women;55-64 years;72;52;29;5;3;9;7;4
Women;65-74 years;60;54;16;3;2;6;3;5
Women;75 years and over;;;;;;;;
