Sex;Age;At home;Visiting others;On the go;At concerts;At festivals or other music events;At work or at my place of education;Other places
Sex, total;Age, total;95;69;86;56;48;73;35
Sex, total;16-24 years;91;53;87;48;37;61;21
Sex, total;25-34 years;87;40;80;45;36;49;14
Sex, total;35-44 years;88;38;79;52;35;45;13
Sex, total;45-54 years;87;29;69;45;24;29;11
Sex, total;55-64 years;89;20;53;38;16;6;13
Sex, total;65-74 years;88;9;27;25;7;1;8
Sex, total;75 years and over;;;;;;;
Men;Age, total;95;63;81;50;44;75;37
Men;16-24 years;88;51;87;47;37;72;23
Men;25-34 years;83;43;80;46;39;56;19
Men;35-44 years;86;35;80;53;35;52;14
Men;45-54 years;88;26;71;44;26;36;10
Men;55-64 years;89;17;61;37;14;10;14
Men;65-74 years;89;8;35;20;5;2;8
Men;75 years and over;;;;;;;
Women;Age, total;95;76;91;64;53;71;31
Women;16-24 years;93;54;87;50;37;52;19
Women;25-34 years;91;38;80;43;32;42;10
Women;35-44 years;91;42;79;51;34;38;13
Women;45-54 years;86;33;67;45;23;23;12
Women;55-64 years;89;22;47;39;18;2;12
Women;65-74 years;86;10;19;29;8;1;7
Women;75 years and over;;;;;;;
