Sex;Age;Puzzle games;Platformer games;Sports games;Action games;Adventure games;Strategy games;Creative games, simulation games or sandbox games;Other types of games
Sex, total;Age, total;49;35;22;47;27;32;47;21
Sex, total;16-24 years;37;18;16;31;30;27;31;21
Sex, total;25-34 years;39;15;13;20;16;17;14;19
Sex, total;35-44 years;44;7;7;8;7;12;7;17
Sex, total;45-54 years;41;2;2;2;2;6;3;18
Sex, total;55-64 years;34;0;0;0;1;1;2;23
Sex, total;65-74 years;22;0;1;1;0;3;2;26
Sex, total;75 years and over;;;;;;;;
Men;Age, total;34;34;39;77;39;50;50;23
Men;16-24 years;28;24;29;57;49;48;38;30
Men;25-34 years;28;18;22;33;25;30;20;24
Men;35-44 years;33;10;13;16;12;22;9;13
Men;45-54 years;30;2;3;4;3;9;4;15
Men;55-64 years;23;1;1;1;2;2;2;18
Men;65-74 years;19;1;2;1;0;5;2;20
Men;75 years and over;;;;;;;;
Women;Age, total;66;36;4;15;15;13;44;18
Women;16-24 years;46;12;4;5;12;6;24;13
Women;25-34 years;51;12;2;4;5;2;7;14
Women;35-44 years;55;3;1;0;2;2;6;20
Women;45-54 years;53;2;0;0;1;3;1;21
Women;55-64 years;42;0;0;0;0;1;1;26
Women;65-74 years;26;0;0;0;0;1;2;31
Women;75 years and over;;;;;;;;
